count_MA,avg_size_MA,area_ratio_MA,mean_dist_MA,min_dist_MA,quad_MA,central_ratio_MA,count_HE,avg_size_HE,area_ratio_HE,mean_dist_HE,min_dist_HE,quad_HE,central_ratio_HE,count_EX,avg_size_EX,area_ratio_EX,mean_dist_EX,min_dist_EX,quad_EX,central_ratio_EX,count_SE,avg_size_SE,area_ratio_SE,mean_dist_SE,min_dist_SE,quad_SE,central_ratio_SE,flag_mild_DR,flag_severe_NPDR,flag_vision_threat,image_name
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-3336-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,3,36.666666666666664,0.0007792023801035687,0.3551356996416073,0.23846652118030123,2,0.999999990909091,0,0,0,007-3427-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-3466-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,2,174.0,0.0024605986042292556,0.38631260037279735,0.3770394498183981,2,0.9999999971264368,0,0,0,007-3476-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-3729-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,3,7.333333333333333,0.0001943428561315671,0.3617658103241001,0.24130383142938283,1,0.9999999545454565,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-3781-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-3928-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-4169-200.jpg
1,1.0,3.814697265610448e-06,0.16091664003160921,0.16091664003160921,1,0.9999990000010001,0,0,0.0,0,1,0,0.0,2,9.0,6.866455078098807e-05,0.22195839319473848,0.2053755284010625,2,0.9999999444444475,1,12.0,4.5776367187325376e-05,0.18622779161920233,0.18622779161920233,1,0.9999999166666736,1,0,0,007-4269-200.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-4843-300.jpg
0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,007-4847-300.jpg
